"x","y","orientation","v","w"
0.0237912,8.51498e-06,,,
0.0241213,2.94496e-05,,,
0.0235214,3.05748e-05,,,
0.0241155,2.369e-05,,,
0.022693,2.95404e-05,,,
0.0234923,2.45074e-05,,,
0.0244446,3.11007e-05,,,
0.0244266,2.46571e-05,,,
0.0238539,2.39639e-05,,,
0.0236043,1.91551e-05,,,
0.023959,3.2613e-05,,,
0.0225892,1.80829e-05,,,
0.0235585,8.40961e-06,,,
0.0232577,2.41219e-05,,,
0.0232475,2.73282e-05,,,
0.023793,9.73449e-06,,,
0.0227446,2.81785e-05,,,
0.0240056,3.40507e-05,,,
0.0241843,2.37963e-05,,,
0.0239089,3.06011e-05,,,
0.0242921,1.77003e-05,,,
0.024327,2.12978e-05,,,
0.0244527,2.68688e-05,,,
0.0222034,1.5488e-05,,,
0.0230392,2.30496e-05,,,
0.0228238,2.99147e-05,,,
0.0246799,3.22268e-05,,,
0.0227803,3.15756e-05,,,
0.0243968,3.46476e-05,,,
0.0233832,2.28387e-05,,,
0.0243264,1.61711e-05,,,
0.0233372,2.56745e-05,,,
0.0231763,1.42008e-05,,,
0.0237016,1.31066e-05,,,
0.0245485,2.84067e-05,,,
0.0229888,2.29675e-05,,,
0.0240186,2.7124e-05,,,
0.0244362,1.0754e-05,,,
0.0225512,2.8592e-05,,,
0.022475,2.6591e-05,,,
0.0236668,3.23533e-05,,,
0.0238174,1.89604e-05,,,
0.0236396,2.10916e-05,,,
0.0236551,1.75001e-05,,,
0.024256,2.73136e-05,,,
0.0240309,6.64844e-06,,,
0.024007,2.3999e-05,,,
0.0242313,2.08407e-05,,,
0.023046,3.10125e-05,,,
0.0240629,1.58129e-05,,,
0.0229402,3.14649e-06,,,
0.0245266,3.02124e-05,,,
0.0231362,3.28438e-05,,,
0.0235493,1.62761e-05,,,
0.0229393,3.2334e-05,,,
0.0245363,1.90238e-05,,,
0.0237672,1.29635e-05,,,
0.0226443,2.94739e-05,,,
0.0242113,2.12077e-05,,,
0.0223117,1.99041e-05,,,
0.0225578,2.49634e-05,,,
0.0239637,2.75776e-05,,,
0.0236525,3.0165e-05,,,
0.0243298,2.84742e-05,,,
0.0239301,2.4243e-05,,,
0.0241486,3.31398e-05,,,
0.0245767,1.04467e-05,,,
0.0223002,1.22724e-05,,,
0.0246968,2.87921e-05,,,
0.024233,6.47705e-06,,,
0.024509,3.41507e-05,,,
0.0237409,1.85657e-05,,,
0.0241715,4.60615e-06,,,
0.0228081,2.57903e-05,,,
0.0246266,3.10944e-05,,,
0.0220837,2.9123e-05,,,
0.0243725,2.33658e-05,,,
0.0243072,3.24851e-05,,,
0.0236351,3.12943e-05,,,
0.0239305,2.23078e-05,,,
0.0240302,3.04622e-05,,,
0.0228187,2.67892e-05,,,
0.0246841,1.559e-05,,,
0.023717,2.09411e-05,,,
0.0240863,2.77109e-05,,,
0.0232578,2.08617e-05,,,
0.0238283,1.60227e-05,,,
0.0244791,2.95841e-05,,,
0.0240389,3.32552e-05,,,
0.0246534,2.52891e-05,,,
0.0228955,1.92668e-05,,,
0.0246075,3.30707e-05,,,
0.0227286,3.09513e-06,,,
0.0235583,1.9828e-05,,,
0.0245438,1.84463e-05,,,
0.0238792,3.23561e-05,,,
